Unnamed: 0.1,FighterNumber,Fighters,filename,Echo,numWithEcho,numNoEcho,UserEnjoyment,Odds
0,01,MARIO,mario.png,notEcho,1,1,0,0.002898550724637681
1,02,DONKEY KONG,donkey_kong.png,notEcho,2,2,0,0.026086956521739132
2,03,LINK,link.png,notEcho,3,3,6,0.043478260869565216
3,04,SAMUS,samus.png,notEcho,4,4,0,0.043478260869565216
4,04ᵋ,DARK SAMUS,dark_samus.png,Echo Fighter of SAMUS,5,4,3,0.043478260869565216
5,05,YOSHI,yoshi.png,notEcho,6,5,2,0.043478260869565216
6,06,KIRBY,kirby.png,notEcho,7,6,8,0.04927536231884058
7,07,FOX,fox.png,notEcho,8,7,0,0.052173913043478265
8,08,PIKACHU,pikachu.png,notEcho,9,8,4,0.05797101449275363
9,09,LUIGI,luigi.png,notEcho,10,9,9,0.0782608695652174
10,10,NESS,ness.png,notEcho,11,10,6,0.10724637681159421
11,11,CAPTAIN FALCON,captain_falcon.png,notEcho,12,11,2,0.11884057971014494
12,12,JIGGLYPUFF,jigglypuff.png,notEcho,13,12,9,0.127536231884058
13,13,PEACH,peach.png,notEcho,14,13,5,0.13043478260869568
14,13ᵋ,DAISY,daisy.png,Echo Fighter of PEACH,15,13,3,0.15942028985507248
15,14,BOWSER,bowser.png,notEcho,16,14,0,0.15942028985507248
16,15,ICE CLIMBERS,ice_climbers.png,notEcho,17,15,6,0.16231884057971016
17,16,SHEIK,sheik.png,notEcho,18,16,6,0.18840579710144928
18,17,ZELDA,zelda.png,notEcho,19,17,10,0.19420289855072465
19,18,DR. MARIO,dr_mario.png,notEcho,20,18,5,0.19710144927536233
20,19,PICHU,pichu.png,notEcho,21,19,3,0.22318840579710145
21,20,FALCO,falco.png,notEcho,22,20,2,0.24927536231884057
22,21,MARTH,marth.png,notEcho,23,21,6,0.263768115942029
23,21ᵋ,LUCINA,lucina.png,Echo Fighter of MARTH,24,21,9,0.2811594202898551
24,22,YOUNG LINK,young_link.png,notEcho,25,22,9,0.2898550724637681
25,23,GANONDORF,ganondorf.png,notEcho,26,23,4,0.2985507246376812
26,24,MEWTWO,mewtwo.png,notEcho,27,24,0,0.30144927536231886
27,25,ROY,roy.png,notEcho,28,25,9,0.32173913043478264
28,25ᵋ,CHROM,chrom.png,Echo Fighter of ROY,29,25,2,0.32173913043478264
29,26,MR. GAME & WATCH,mr_game_and_watch.png,notEcho,30,26,8,0.3246376811594203
30,27,META KNIGHT,meta_knight.png,notEcho,31,27,3,0.35362318840579715
31,28,PIT,pit.png,notEcho,32,28,3,0.35362318840579715
32,28ᵋ,DARK PIT,dark_pit.png,Echo Fighter of PIT,33,28,0,0.3594202898550725
33,29,ZERO SUIT SAMUS,zero_suit_samus.png,notEcho,34,29,3,0.3768115942028986
34,30,WARIO,wario.png,notEcho,35,30,5,0.40579710144927544
35,31,SNAKE,snake.png,notEcho,36,31,7,0.4347826086956523
36,32,IKE,ike.png,notEcho,37,32,9,0.45217391304347837
37,34,POKEMON TRAINER,pokemon_trainer.png,notEcho,76,34,9,0.45217391304347837
38,36,DIDDY KONG,diddy_kong.png,notEcho,38,36,8,0.4811594202898552
39,37,LUCAS,lucas.png,notEcho,39,37,6,0.510144927536232
40,38,SONIC,sonic.png,notEcho,40,38,6,0.5333333333333334
41,39,KING DEDEDE,king_dedede.png,notEcho,41,39,1,0.5391304347826088
42,40,OLIMAR,olimar.png,notEcho,42,40,4,0.5478260869565218
43,41,LUCARIO,lucario.png,notEcho,43,41,0,0.5710144927536233
44,42,R.O.B.,rob.png,notEcho,44,42,3,0.5942028985507247
45,43,TOON LINK,toon_link.png,notEcho,45,43,9,0.6144927536231884
46,44,WOLF,wolf.png,notEcho,46,44,6,0.6434782608695653
47,45,VILLAGER,villager.png,notEcho,47,45,8,0.6695652173913044
48,46,MEGA MAN,mega_man.png,notEcho,48,46,0,0.6898550724637681
49,47,Wii Fit TRAINER,wii_fit_trainer.png,notEcho,49,47,10,0.6985507246376811
50,48,ROSALINA & LUMA,rosalina_and_luma.png,notEcho,50,48,2,0.7159420289855072
51,49,LITTLE MAC,little_mac.png,notEcho,51,49,6,0.7362318840579709
52,50,GRENINJA,greninja.png,notEcho,52,50,9,0.7391304347826085
53,52,Mii FIGHTER,mii_fighter.png,notEcho,77,52,2,0.7420289855072462
54,54,PALUTENA,palutena.png,notEcho,53,54,4,0.7507246376811592
55,55,PAC-MAN,pac_man.png,notEcho,54,55,2,0.7710144927536229
56,56,ROBIN,robin.png,notEcho,55,56,2,0.7739130434782605
57,57,SHULK,shulk.png,notEcho,56,57,3,0.7768115942028981
58,58,BOWSER JR.,bowser_jr.png,notEcho,57,58,0,0.7768115942028981
59,59,DUCK HUNT,duck_hunt.png,notEcho,58,59,6,0.7826086956521735
60,60,RYU,ryu.png,notEcho,59,60,2,0.7855072463768111
61,60ᵋ,KEN,ken.png,Echo Fighter of RYU,60,60,0,0.8115942028985502
62,61,CLOUD,cloud.png,notEcho,61,61,4,0.8173913043478256
63,62,CORRIN,corrin.png,notEcho,62,62,3,0.823188405797101
64,63,BAYONETTA,bayonetta.png,notEcho,63,63,0,0.84927536231884
65,64,INKLING,inkling.png,notEcho,64,64,7,0.8782608695652169
66,65,RIDLEY,ridley.png,notEcho,65,65,4,0.895652173913043
67,66,SIMON,simon.png,notEcho,66,66,7,0.9217391304347821
68,66ᵋ,RICHTER,richter.png,Echo Fighter of SIMON,67,66,6,0.9275362318840574
69,67,KING K. ROOL,king_k_rool.png,notEcho,68,67,0,0.9333333333333328
70,68,ISABELLE,shizue.png,notEcho,69,68,5,0.9478260869565212
71,69,INCINEROAR,gaogaen.png,notEcho,70,69,8,0.9594202898550719
72,70,PIRANHA PLANT,packun_flower.png,notEcho,71,70,4,0.9652173913043472
73,71,JOKER,joker.png,notEcho,72,71,9,0.9739130434782602
74,72,HERO,dq_hero.png,notEcho,73,72,0,0.9913043478260863
75,73,BANJO & KAZOOIE,banjo_and_kazooie.png,notEcho,74,73,3,0.9971014492753617
76,74,TERRY,terry.png,notEcho,75,74,1,0.9999999999999993
